Date,Open,High,Low,Close,Volume
2026-08-03 23:40:00,28989.5,28989.5,28974,28975.5,0
2026-08-03 23:41:00,28975.75,28976.5,28960,28965.75,0
2026-08-03 23:42:00,28966.25,28966.5,28960,28961.75,0
2026-08-03 23:43:00,28963,28965.25,28959,28962.25,0
2026-08-03 23:44:00,28961.25,28968.75,28958.25,28968.75,0
2026-08-03 23:45:00,28967,28970,28957.75,28961.75,0
2026-08-03 23:46:00,28964,28985.75,28963.5,28976.5,0
2026-08-03 23:47:00,28976.5,28979.25,28972,28974.75,0
2026-08-03 23:48:00,28975.25,28983.5,28975.25,28983.25,0
2026-08-03 23:49:00,28983.75,28985.5,28978.25,28983,0
2026-08-03 23:50:00,28982.5,28989.5,28981,28982.25,0
2026-08-03 23:51:00,28982.5,28986.75,28982,28984.75,0
2026-08-03 23:52:00,28986.25,28990.75,28986,28988.75,0
2026-08-03 23:53:00,28990,28990.5,28979.75,28986.75,0
2026-08-03 23:54:00,28986.25,28988.25,28983.25,28984,0
2026-08-03 23:55:00,28989,28992.25,28982.5,28986.5,0
2026-08-03 23:56:00,28987.5,28994.25,28986.25,28993,0
2026-08-03 23:57:00,28994.25,28996.5,28988.75,28992,0
2026-08-03 23:58:00,28994,29005.5,28992.75,29003.5,0
2026-08-03 23:59:00,29004.5,29004.5,28994.5,28995.5,0
2026-08-04 00:00:00,28995.5,29000,28995.25,28998,0
2026-08-04 00:01:00,28997,29000,28992.75,28998.25,0
2026-08-04 00:02:00,28998,29006.25,28997.5,29003.75,0
2026-08-04 00:03:00,29004.25,29004.25,28993.25,28993.25,0
2026-08-04 00:04:00,28993.75,28995.75,28982.5,28984.75,0
2026-08-04 00:05:00,28985.5,28987.5,28977.75,28980.5,0
2026-08-04 00:06:00,28980.25,28983.75,28978.5,28981.25,0
2026-08-04 00:07:00,28981,28998,28978.5,28995.25,0
2026-08-04 00:08:00,28995.75,28996.75,28988.5,28991.25,0
2026-08-04 00:09:00,28990.75,28995.25,28987.75,28990.25,0
2026-08-04 00:10:00,28989.25,28989.25,28981,28982.25,0
2026-08-04 00:11:00,28980.75,28984.25,28974,28976.5,0
2026-08-04 00:12:00,28975.25,28975.5,28969.75,28971.25,0
2026-08-04 00:13:00,28971.75,28973.5,28968.5,28968.75,0
2026-08-04 00:14:00,28970.5,28978,28969.75,28974.5,0
2026-08-04 00:15:00,28977.25,28986.25,28976.25,28981.75,0
2026-08-04 00:16:00,28981.75,28988.75,28977,28987.25,0
2026-08-04 00:17:00,28988.25,29001,28987.5,29000.25,0
2026-08-04 00:18:00,28999.5,29002.5,28998.25,28999.5,0
2026-08-04 00:19:00,29000.25,29009.75,28999.75,29006,0
2026-08-04 00:20:00,29006.5,29008.75,29004.25,29006,0
2026-08-04 00:21:00,29003.5,29006.25,28998.75,29005.5,0
2026-08-04 00:22:00,29001.25,29006.75,29001,29005.75,0
2026-08-04 00:23:00,29005.75,29006,29002,29005.5,0
2026-08-04 00:24:00,29005.5,29007.5,29004,29007.5,0
2026-08-04 00:25:00,29007.5,29010.25,29004.75,29004.75,0
2026-08-04 00:26:00,29004.5,29015.25,29004.5,29013.5,0
